FlyBase ID	Symbol	Group	Annotation Symbol	Gene Group 1	Gene Group 2
FBgn0066375	arap	learning.memory	-		
FBgn0066374	arl	learning.memory	-		
FBgn0041188	Atx2	learning.memory	CG5166		
FBgn0066373	avg	learning.memory	-		
FBgn0034724	babos	learning.memory	CG3624		
FBgn0066372	barb	learning.memory	-		
FBgn0066371	beluy	learning.memory	-		
FBgn0000229	bsk	learning.memory	CG5680		
FBgn0264607	CaMKII	learning.memory	CG18069		
FBgn0259234	Camta	learning.memory	CG42332		
FBgn0013759	CASK	learning.memory	CG6703		
FBgn0052243	CG32243	learning.memory	CG32243		
FBgn0036689	CG7730	learning.memory	CG7730		
FBgn0014141	cher	learning.memory	CG3937		
FBgn0066369	chyo	learning.memory	-		
FBgn0265784	CrebB	learning.memory	CG6103		
FBgn0000422	Ddc	learning.memory	CG10697		
FBgn0066367	diana	learning.memory	-		
FBgn0261934	dikar	learning.memory	CG42799		
FBgn0000479	dnc	learning.memory	CG32498		
FBgn0011582	Dop1R1	learning.memory	CG9652		
FBgn0266137	Dop1R2	learning.memory	CG18741		
FBgn0053517	Dop2R	learning.memory	CG33517		
FBgn0035538	DopEcR	learning.memory	CG18314		
FBgn0028408	Drep2	learning.memory	CG1975		
FBgn0004638	drk	learning.memory	CG6033		
FBgn0015380	drl	learning.memory	CG17348		
FBgn0066366	dru	learning.memory	-		
FBgn0036819	Dysb	learning.memory	CG6856		
FBgn0000535	eag	learning.memory	CG10952		
FBgn0000536	eas	learning.memory	CG3525		
FBgn0266572	ebo	learning.memory	CG3923		
FBgn0000546	EcR	learning.memory	CG1765		
FBgn0005558	ey	learning.memory	CG1464		
FBgn0037913	fabp	learning.memory	CG6783		
FBgn0000635	Fas2	learning.memory	CG3665		
FBgn0000636	Fas3	learning.memory	CG5803		
FBgn0011768	Fdh	learning.memory	CG6598		
FBgn0028734	Fmr1	learning.memory	CG6203		
FBgn0000721	for	learning.memory	CG10033		
FBgn0040372	G9a	learning.memory	CG2995		
FBgn0004516	Gad1	learning.memory	CG14994		
FBgn0004435	Galphaq	learning.memory	CG17759		
FBgn0001123	Galphas	learning.memory	CG2835		
FBgn0046114	Gclm	learning.memory	CG4919		
FBgn0250823	gish	learning.memory	CG6963		
FBgn0266580	Gp210	learning.memory	CG7897		
FBgn0035416	gry	learning.memory	CG17569		
FBgn0025823	Hsap\APP	learning.memory	-		
FBgn0066363	ikar	learning.memory	-		
FBgn0066362	jack	learning.memory	-		
FBgn0066361	john	learning.memory	-		
FBgn0017590	klg	learning.memory	CG6669		
FBgn0066344	laska	learning.memory	-		
FBgn0262406	let-7	learning.memory	CR42949		
FBgn0041111	lilli	learning.memory	CG8817		
FBgn0066343	lis	learning.memory	-		
FBgn0037092	M6	learning.memory	CG7540		
FBgn0086912	mbm	learning.memory	CG11604		
FBgn0284442	Mcm3	learning.memory	CG4206		
FBgn0019985	mGluR	learning.memory	CG11144		
FBgn0267366	mil	learning.memory	CG5017		
FBgn0266076	mir-276a	learning.memory	CR43001		
FBgn0262266	mir-980	learning.memory	CR42973		
FBgn0066341	mirta	learning.memory	-		
FBgn0002774	mle	learning.memory	CG11680		
FBgn0066340	mmp	learning.memory	-		
FBgn0259168	mnb	learning.memory	CG42273		
FBgn0259481	Mob2	learning.memory	CG11711		
FBgn0086711	mol	learning.memory	CG4482		
FBgn0039507	mrt	learning.memory	CG3361		
FBgn0037705	mura	learning.memory	CG9381		
FBgn0015269	Nf1	learning.memory	CG8318		
FBgn0026401	Nipped-B	learning.memory	CG17704		
FBgn0083975	Nlg4	learning.memory	CG34139		
FBgn0010399	Nmdar1	learning.memory	CG2902		
FBgn0050418	nord	learning.memory	CG30418		
FBgn0262738	norpA	learning.memory	CG3620		
FBgn0066338	nov	learning.memory	-		
FBgn0027109	NPF	learning.memory	CG10342		
FBgn0264975	Nrg	learning.memory	CG1634		
FBgn0038975	Nrx-1	learning.memory	CG7050		
FBgn0024944	Oamb	learning.memory	CG3856		
FBgn0264307	orb2	learning.memory	CG43782		
FBgn0005654	Orc3	learning.memory	CG4088		
FBgn0003011	ort	learning.memory	CG7411		
FBgn0003015	osk	learning.memory	CG10901		
FBgn0285944	para	learning.memory	CG9907		
FBgn0003068	per	learning.memory	CG2647		
FBgn0010309	pigeon	learning.memory	CG10739		
FBgn0000273	Pka-C1	learning.memory	CG4379		
FBgn0004103	Pp1-87B	learning.memory	CG5650		
FBgn0066332	prem	learning.memory	-		
FBgn0066331	prx	learning.memory	-		
FBgn0284421	Psn	learning.memory	CG18803		
FBgn0035770	pst	learning.memory	CG8588		
FBgn0003165	pum	learning.memory	CG9755		
FBgn0053207	pxb	learning.memory	CG33207		
FBgn0002567	Rab32	learning.memory	CG8024		
FBgn0010333	Rac1	learning.memory	CG2248		
FBgn0265597	rad	learning.memory	CG44424		
FBgn0066330	rafl	learning.memory	-		
FBgn0052062	Rbfox1	learning.memory	CG32062		
FBgn0004244	Rdl	learning.memory	CG10537		
FBgn0266098	rg	learning.memory	CG44835		
FBgn0004635	rho	learning.memory	CG1004		
FBgn0066328	rijiy	learning.memory	-		
FBgn0036697	rogdi	learning.memory	CG7725		
FBgn0003301	rut	learning.memory	CG9533		
FBgn0262866	S6kII	learning.memory	CG17596		
FBgn0003328	scb	learning.memory	CG8095		
FBgn0263289	scrib	learning.memory	CG43398		
FBgn0003366	sev	learning.memory	CG18085		
FBgn0020251	sfl	learning.memory	CG8339		
FBgn0003380	Sh	learning.memory	CG12348		
FBgn0003392	shi	learning.memory	CG18102		
FBgn0003396	shn	learning.memory	CG7734		
FBgn0037140	SLC22A	learning.memory	CG7442		
FBgn0283468	slmb	learning.memory	CG3412		
FBgn0086370	sra	learning.memory	CG6072		
FBgn0262733	Src64B	learning.memory	CG7524		
FBgn0004575	Syn	learning.memory	CG3985		
FBgn0266579	tau	learning.memory	CG45110		
FBgn0010329	Tbh	learning.memory	CG1543		
FBgn0267001	Ten-a	learning.memory	CG42338		
FBgn0066324	toi	learning.memory	-		
FBgn0035934	TrpA1	learning.memory	CG5751		
FBgn0026317	Tsc1	learning.memory	CG6147		
FBgn0011726	tsr	learning.memory	CG4254		
FBgn0034046	tun	learning.memory	CG8253		
FBgn0061469	Ube3a	learning.memory	CG6190		
FBgn0066323	val	learning.memory	-		
FBgn0045823	vsg	learning.memory	CG16707		
FBgn0066322	zlo	learning.memory	-		
FBgn0066321	zol	learning.memory	-		
